store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
448537,,,,,PANERA,PANERA,,,,,,,PANERA,,,,PANERA,,,,,2024
312991,B-,113.0,3344.0,B+,PANERA(B/B),PANERA(B<C),129.0,2023.0,2021.0,2.0,,C,PANERA(C),96.0,2639.0,C+,PANERA(C/C),106.0,2020.0,2016.0,2.0,2024
445929,C,103.0,3048.0,B,PANERA(C/B),PANERA(C<D),117.0,2022.0,,1.0,,D,PANERA(D),83.0,2282.0,C-,PANERA(D/C),93.0,2020.0,2018.0,2.0,2024
448278,D,84.0,2486.0,C,PANERA(D/C),PANERA(D<D),104.0,2024.0,,1.0,,D,PANERA(D),75.0,2062.0,D+,PANERA(D/D),86.0,2018.0,,1.0,2024
445940,F,53.0,1568.0,F,PANERA(F/F),PANERA(F<F),62.0,2024.0,2021.0,2.0,,F,PANERA(F),56.0,1539.0,F,PANERA(F/F),64.0,2019.0,2017.0,2.0,2024
458809,F,61.0,1805.0,D-,PANERA(F/D),PANERA(F<-),73.0,2024.0,2022.0,3.0,,,PANERA,,,,PANERA,,,,,2024
464783,D,82.0,2426.0,C,PANERA(D/C),PANERA(D<-),99.0,2024.0,2022.0,2.0,,,PANERA,,,,PANERA,,,,,2024
448562,D,83.0,2456.0,C,PANERA(D/C),PANERA(D<F),96.0,2023.0,2022.0,3.0,,F,PANERA(F),68.0,1869.0,D,PANERA(F/D),76.0,2020.0,2018.0,2.0,2024
455276,F,67.0,1983.0,D,PANERA(F/D),PANERA(F<-),80.0,2024.0,2023.0,3.0,,,PANERA,,,,PANERA,,,,,2024
452813,F,67.0,1983.0,D,PANERA(F/D),PANERA(F<F),76.0,2022.0,,1.0,,F,PANERA(F),63.0,1732.0,F,PANERA(F/F),69.0,2020.0,2018.0,2.0,2024
471871,B,119.0,3521.0,A,PANERA(B/A),PANERA(B<-),136.0,2023.0,2022.0,2.0,,,PANERA,,,,PANERA,,,,,2024
481865,C+,106.0,3137.0,B,PANERA(C/B),PANERA(C<-),124.0,2023.0,,1.0,,,PANERA,,,,PANERA,,,,,2024
494672,,,,,PANERA,PANERA,,,,,,,PANERA,,,,PANERA,,,,,2024
276275,C+,105.0,3107.0,B,PANERA(C/B),PANERA(C<C),120.0,2023.0,2021.0,2.0,,C+,PANERA(C),108.0,2969.0,B,PANERA(C/B),120.0,2019.0,,1.0,2024
287796,B-,114.0,3373.0,A-,PANERA(B/A),PANERA(B<A),133.0,2024.0,2022.0,4.0,,A+,PANERA(A),153.0,4206.0,A+,PANERA(A/A),170.0,2019.0,,1.0,2024
307633,C-,93.0,2752.0,B-,PANERA(C/B),PANERA(C<-),114.0,2024.0,,1.0,,,PANERA,,,,PANERA,,,,,2024
336216,C-,94.0,2781.0,B-,PANERA(C/B),PANERA(C<C),110.0,2023.0,2022.0,2.0,,C,PANERA(C),95.0,2612.0,C+,PANERA(C/C),107.0,2018.0,2016.0,4.0,2024
335000,D,75.0,2219.0,D,PANERA(D/D),PANERA(D<D),82.0,2022.0,,1.0,,D,PANERA(D),80.0,2199.0,C-,PANERA(D/C),90.0,2019.0,2018.0,3.0,2024
365439,C,103.0,3048.0,B,PANERA(C/B),PANERA(C<C),119.0,2023.0,,1.0,,C+,PANERA(C),105.0,2886.0,B,PANERA(C/B),118.0,2018.0,2017.0,2.0,2024
355292,D,77.0,2278.0,D+,PANERA(D/D),PANERA(D<D),89.0,2022.0,,1.0,,D+,PANERA(D),88.0,2419.0,C,PANERA(D/C),97.0,2016.0,,1.0,2024
330357,D+,85.0,2515.0,C,PANERA(D/C),PANERA(D<C),99.0,2024.0,2022.0,3.0,,C-,PANERA(C),90.0,2474.0,C,PANERA(C/C),100.0,2019.0,2017.0,3.0,2024
348762,C-,93.0,2752.0,C+,PANERA(C/C),PANERA(C<C),107.0,2023.0,2021.0,2.0,,C,PANERA(C),99.0,2722.0,B-,PANERA(C/B),110.0,2019.0,2018.0,3.0,2024
355240,B,116.0,3432.0,A-,PANERA(B/A),PANERA(B<C),131.0,2022.0,,1.0,,C+,PANERA(C),106.0,2914.0,B,PANERA(C/B),119.0,2020.0,2018.0,3.0,2024
330356,F,69.0,2042.0,D,PANERA(F/D),PANERA(F<D),81.0,2023.0,,1.0,,D-,PANERA(D),72.0,1979.0,D,PANERA(D/D),80.0,2016.0,,1.0,2024
249095,C+,105.0,3107.0,B,PANERA(C/B),PANERA(C<C),115.0,2022.0,,1.0,,C,PANERA(C),100.0,2749.0,B-,PANERA(C/B),112.0,2019.0,2015.0,2.0,2024
249178,C+,108.0,3196.0,B+,PANERA(C/B),PANERA(C<B),126.0,2024.0,2023.0,3.0,,B-,PANERA(B),110.0,3024.0,B,PANERA(B/B),123.0,2019.0,2017.0,4.0,2024
